as_of_year,state_code,state_abbr,msamd,msamd_name,total_applications,total_originated,total_denied,denial_rate,origination_rate,conventional_share,govt_backed_share,purchase_share,recovery_index
2007,1,AL,11500,"Anniston, Oxford - AL",4202,2813,1389,0.3306,0.6694,0.9174,0.0809,0.4467,1.0
2007,1,AL,12220,"Auburn, Opelika - AL",5777,4471,1306,0.2261,0.7739,0.8747,0.1222,0.5792,1.0
2007,1,AL,13820,"Birmingham, Hoover - AL",50363,33222,17141,0.3403,0.6597,0.9242,0.0745,0.4577,1.0
2007,1,AL,17980,"Columbus - GA, AL",1915,1234,681,0.3556,0.6444,0.7911,0.2084,0.4454,1.0
2007,1,AL,17980,"Columbus - GA, AL",1915,1234,681,0.3556,0.6444,0.7911,0.2084,0.4454,0.1933
2007,1,AL,19460,Decatur - AL,5709,4120,1589,0.2783,0.7217,0.8634,0.1349,0.4843,1.0
2007,1,AL,20020,Dothan - AL,6106,4199,1907,0.3123,0.6877,0.8937,0.1055,0.4314,1.0
2007,1,AL,22520,"Florence, Muscle Shoals - AL",5199,3806,1393,0.2679,0.7321,0.9679,0.0306,0.4772,1.0
2007,1,AL,23460,Gadsden - AL,3689,2495,1194,0.3237,0.6763,0.9344,0.0572,0.4207,1.0
2007,1,AL,26620,Huntsville - AL,18291,13976,4315,0.2359,0.7641,0.8649,0.1273,0.5586,1.0
2007,1,AL,33660,Mobile - AL,17417,11165,6252,0.359,0.641,0.8903,0.1084,0.4227,1.0
2007,1,AL,33860,Montgomery - AL,15123,10187,4936,0.3264,0.6736,0.86,0.1363,0.5064,1.0
2007,1,AL,46220,Tuscaloosa - AL,8000,5753,2247,0.2809,0.7191,0.8784,0.1108,0.5304,1.0
2007,10,DE,20100,Dover - DE,8332,5113,3219,0.3863,0.6137,0.8802,0.1187,0.4195,1.0
2007,10,DE,48864,"Wilmington - DE, MD, NJ",24494,16170,8324,0.3398,0.6602,0.9427,0.0572,0.3822,1.0
2007,10,DE,48864,"Wilmington - DE, MD, NJ",24494,16170,8324,0.3398,0.6602,0.9427,0.0572,0.3822,5.0285
2007,10,DE,48864,"Wilmington - DE, MD, NJ",24494,16170,8324,0.3398,0.6602,0.9427,0.0572,0.3822,7.7122
2007,11,DC,47894,"Washington, Arlington, Alexandria - DC, VA, MD, WV",26226,18845,7381,0.2814,0.7186,0.9824,0.0176,0.4267,1.0
2007,11,DC,47894,"Washington, Arlington, Alexandria - DC, VA, MD, WV",26226,18845,7381,0.2814,0.7186,0.9824,0.0176,0.4267,0.3227
2007,11,DC,47894,"Washington, Arlington, Alexandria - DC, VA, MD, WV",26226,18845,7381,0.2814,0.7186,0.9824,0.0176,0.4267,0.2267
2007,11,DC,47894,"Washington, Arlington, Alexandria - DC, VA, MD, WV",26226,18845,7381,0.2814,0.7186,0.9824,0.0176,0.4267,8.6128
2007,12,FL,15980,"Cape Coral, Fort Myers - FL",44998,26929,18069,0.4016,0.5984,0.9744,0.025,0.424,1.0
2007,12,FL,19660,"Deltona, Daytona Beach, Ormond Beach - FL",27182,16539,10643,0.3915,0.6085,0.9562,0.0435,0.3312,1.0
2007,12,FL,22744,"Fort Lauderdale, Pompano Beach, Deerfield Beach - FL",105492,61207,44285,0.4198,0.5802,0.9779,0.0221,0.3745,1.0
2007,12,FL,23020,"Fort Walton Beach, Crestview, Destin - FL",9196,6291,2905,0.3159,0.6841,0.8591,0.1309,0.4352,1.0
2007,12,FL,23540,Gainesville - FL,9431,6489,2942,0.3119,0.6881,0.9333,0.0658,0.4919,1.0
2007,12,FL,27260,Jacksonville - FL,76318,47184,29134,0.3817,0.6183,0.9061,0.0937,0.4092,1.0
2007,12,FL,29460,Lakeland - FL,32807,18950,13857,0.4224,0.5776,0.9344,0.063,0.3798,1.0
2007,12,FL,33124,"Miami, Miami Beach, Kendall - FL",135812,77699,58113,0.4279,0.5721,0.9856,0.0144,0.4153,1.0
2007,12,FL,34940,"Naples, Marco Island - FL",19139,12438,6701,0.3501,0.6499,0.9886,0.0107,0.3954,1.0
2007,12,FL,36100,Ocala - FL,18036,10934,7102,0.3938,0.6062,0.9437,0.0541,0.3612,1.0
2007,12,FL,36740,"Orlando, Kissimmee - FL",128810,78593,50217,0.3899,0.6101,0.967,0.0325,0.4335,1.0
2007,12,FL,37340,"Palm Bay, Melbourne, Titusville - FL",27006,17105,9901,0.3666,0.6334,0.9325,0.0675,0.3978,1.0
2007,12,FL,37380,Palm Coast - FL,6665,4032,2633,0.395,0.605,0.9599,0.0363,0.3709,1.0
2007,12,FL,37460,"Panama City, Lynn Haven - FL",10211,6709,3502,0.343,0.657,0.9102,0.0842,0.5063,1.0
2007,12,FL,37860,"Pensacola, Ferry Pass, Brent - FL",19827,12775,7052,0.3557,0.6443,0.8764,0.1161,0.41,1.0
2007,12,FL,38940,Port St. Lucie - FL,24447,14205,10242,0.4189,0.5811,0.972,0.0279,0.3694,1.0
2007,12,FL,39460,Punta Gorda - FL,10125,6448,3677,0.3632,0.6368,0.9622,0.0378,0.4003,1.0
2007,12,FL,42260,"Sarasota, Bradenton, Venice - FL",34912,22856,12056,0.3453,0.6547,0.9632,0.0367,0.3873,1.0
2007,12,FL,42680,"Sebastian, Vero Beach - FL",7050,4579,2471,0.3505,0.6495,0.9706,0.0292,0.4438,1.0
2007,12,FL,45220,Tallahassee - FL,14687,9934,4753,0.3236,0.6764,0.9135,0.0824,0.4453,1.0
2007,12,FL,45300,"Tampa, St. Petersburg, Clearwater - FL",145509,88330,57179,0.393,0.607,0.9494,0.0505,0.3675,1.0
2007,12,FL,48424,"West Palm Beach, Boca Raton, Boynton Beach - FL",67312,40547,26765,0.3976,0.6024,0.9814,0.0186,0.3754,1.0
2007,13,GA,10500,Albany - GA,5581,3715,1866,0.3343,0.6657,0.8816,0.1181,0.3892,1.0
2007,13,GA,12020,"Athens, Clarke County - GA",7440,5655,1785,0.2399,0.7601,0.9323,0.0667,0.4535,1.0
2007,13,GA,12060,"Atlanta, Sandy Springs, Marietta - GA",283183,174170,109013,0.385,0.615,0.9071,0.0924,0.4518,1.0
2007,13,GA,12260,"Augusta, Richmond County - GA, SC",14641,9788,4853,0.3315,0.6685,0.8323,0.1666,0.4357,1.0
2007,13,GA,12260,"Augusta, Richmond County - GA, SC",14641,9788,4853,0.3315,0.6685,0.8323,0.1666,0.4357,2.328
2007,13,GA,15260,Brunswick - GA,4898,3539,1359,0.2775,0.7225,0.9341,0.0659,0.4206,1.0
2007,13,GA,16860,"Chattanooga - TN, GA",6559,4247,2312,0.3525,0.6475,0.8979,0.0994,0.3842,1.0
2007,13,GA,16860,"Chattanooga - TN, GA",6559,4247,2312,0.3525,0.6475,0.8979,0.0994,0.3842,0.3813
2007,13,GA,17980,"Columbus - GA, AL",9908,6454,3454,0.3486,0.6514,0.8567,0.1433,0.3827,5.1739
2007,13,GA,17980,"Columbus - GA, AL",9908,6454,3454,0.3486,0.6514,0.8567,0.1433,0.3827,1.0
2007,13,GA,19140,Dalton - GA,4738,3077,1661,0.3506,0.6494,0.8837,0.1148,0.3894,1.0
2007,13,GA,23580,Gainesville - GA,7636,5179,2457,0.3218,0.6782,0.9282,0.071,0.4301,1.0
2007,13,GA,25980,"Hinesville, Fort Stewart - GA",2892,1979,913,0.3157,0.6843,0.7365,0.2628,0.4243,1.0
2007,13,GA,31420,Macon - GA,9323,5783,3540,0.3797,0.6203,0.906,0.0935,0.3821,1.0
2007,13,GA,40660,Rome - GA,3342,2267,1075,0.3217,0.6783,0.8659,0.1338,0.3938,1.0
2007,13,GA,42340,Savannah - GA,16840,11710,5130,0.3046,0.6954,0.8871,0.1113,0.4587,1.0
2007,13,GA,46660,Valdosta - GA,5582,4279,1303,0.2334,0.7666,0.8552,0.1444,0.4781,1.0
2007,13,GA,47580,Warner Robins - GA,6370,4618,1752,0.275,0.725,0.8129,0.187,0.5085,1.0
2007,15,HI,26180,Honolulu - HI,26930,19720,7210,0.2677,0.7323,0.9497,0.0502,0.4142,1.0
2007,16,ID,14260,"Boise City, Nampa - ID",34513,24586,9927,0.2876,0.7124,0.9244,0.0754,0.4123,1.0
2007,16,ID,17660,Coeur D'Alene - ID,7973,5646,2327,0.2919,0.7081,0.9264,0.0675,0.405,1.0
2007,16,ID,26820,Idaho Falls - ID,6263,4402,1861,0.2971,0.7029,0.9013,0.0969,0.4798,1.0
2007,16,ID,30300,"Lewiston - ID, WA",1579,1133,446,0.2825,0.7175,0.86,0.14,0.4281,1.0
2007,16,ID,30300,"Lewiston - ID, WA",1579,1133,446,0.2825,0.7175,0.86,0.14,0.4281,1.687
2007,16,ID,30860,"Logan - UT, ID",448,293,155,0.346,0.654,0.9375,0.0536,0.3951,1.0
2007,16,ID,30860,"Logan - UT, ID",448,293,155,0.346,0.654,0.9375,0.0536,0.3951,0.108
2007,16,ID,38540,Pocatello - ID,4157,2946,1211,0.2913,0.7087,0.9379,0.0611,0.4773,1.0
2007,17,IL,14060,"Bloomington, Normal - IL",5713,4490,1223,0.2141,0.7859,0.9219,0.0709,0.5155,1.0
2007,17,IL,16580,"Champaign, Urbana - IL",7101,5596,1505,0.2119,0.7881,0.921,0.061,0.5351,1.0
2007,17,IL,16974,"Chicago, Naperville, Joliet - IL",377610,256783,120827,0.32,0.68,0.959,0.0409,0.3627,1.0
2007,17,IL,19180,Danville - IL,2170,1393,777,0.3581,0.6419,0.9203,0.071,0.4028,1.0
2007,17,IL,19340,"Davenport, Moline, Rock Island - IA, IL",7610,5425,2185,0.2871,0.7129,0.8799,0.111,0.4549,1.0
2007,17,IL,19340,"Davenport, Moline, Rock Island - IA, IL",7610,5425,2185,0.2871,0.7129,0.8799,0.111,0.4549,1.1624
2007,17,IL,19500,Decatur - IL,3743,2715,1028,0.2746,0.7254,0.8873,0.1117,0.5418,1.0
2007,17,IL,28100,"Kankakee, Bradley - IL",4560,3179,1381,0.3029,0.6971,0.9268,0.0706,0.4351,1.0
2007,17,IL,29404,"Lake County, Kenosha County - IL, WI",32539,23557,8982,0.276,0.724,0.956,0.044,0.3342,1.0
2007,17,IL,29404,"Lake County, Kenosha County - IL, WI",32539,23557,8982,0.276,0.724,0.956,0.044,0.3342,4.4373
2007,17,IL,37900,Peoria - IL,14385,11025,3360,0.2336,0.7664,0.9128,0.0817,0.501,1.0
2007,17,IL,40420,Rockford - IL,15174,10759,4415,0.291,0.709,0.8864,0.1135,0.4337,1.0
2007,17,IL,41180,"St. Louis - MO, IL",30686,21316,9370,0.3054,0.6946,0.8855,0.1064,0.4182,1.0
2007,17,IL,41180,"St. Louis - MO, IL",30686,21316,9370,0.3054,0.6946,0.8855,0.1064,0.4182,0.2718
