as_of_year,state_abbr,loan_purpose_name,loan_type_name,action_taken_name,count
2007,AL,Home purchase,FSA/RHS-guaranteed,Application denied by financial institution,94
2007,AL,Home purchase,FSA/RHS-guaranteed,Application approved but not accepted,18
2007,AL,Home purchase,FHA-insured,Loan originated,6986
2007,AL,Home purchase,FHA-insured,Application denied by financial institution,1569
2007,AL,Home purchase,FHA-insured,Application approved but not accepted,482
2007,AL,Home purchase,Conventional,Loan originated,65438
2007,AL,Home purchase,Conventional,Application denied by financial institution,16319
2007,AL,Home purchase,Conventional,Application approved but not accepted,8196
2007,AK,Refinancing,VA-guaranteed,Loan originated,174
2007,AR,Refinancing,VA-guaranteed,Application denied by financial institution,60
2007,AR,Refinancing,VA-guaranteed,Application approved but not accepted,8
2007,AR,Refinancing,FSA/RHS-guaranteed,Loan originated,10
2007,AR,Refinancing,FSA/RHS-guaranteed,Application denied by financial institution,1
2007,AR,Refinancing,FSA/RHS-guaranteed,Application approved but not accepted,1
2007,AR,Refinancing,FHA-insured,Loan originated,1752
2007,AR,Refinancing,FHA-insured,Application denied by financial institution,921
2007,AZ,Home purchase,VA-guaranteed,Application approved but not accepted,302
2007,AZ,Home purchase,FSA/RHS-guaranteed,Loan originated,203
2007,AZ,Home purchase,FSA/RHS-guaranteed,Application denied by financial institution,34
2007,AZ,Home purchase,FSA/RHS-guaranteed,Application approved but not accepted,10
2007,AZ,Home purchase,FHA-insured,Loan originated,6221
2007,AZ,Home purchase,FHA-insured,Application denied by financial institution,1678
2007,AZ,Home purchase,FHA-insured,Application approved but not accepted,574
2007,AZ,Home purchase,Conventional,Loan originated,117592
2007,AZ,Home purchase,Conventional,Application denied by financial institution,36372
2007,AZ,Home purchase,Conventional,Application approved but not accepted,23596
2007,AR,Refinancing,VA-guaranteed,Loan originated,146
2007,AK,Refinancing,VA-guaranteed,Application approved but not accepted,24
2007,AK,Home purchase,FHA-insured,Application approved but not accepted,70
2007,AK,Home purchase,Conventional,Loan originated,7833
2007,AK,Home purchase,Conventional,Application denied by financial institution,1522
2007,AL,Home purchase,FSA/RHS-guaranteed,Loan originated,1084
2007,CA,Refinancing,FHA-insured,Loan originated,2759
2007,CA,Refinancing,FHA-insured,Application denied by financial institution,2069
2007,CA,Refinancing,FHA-insured,Application approved but not accepted,457
2007,CA,Refinancing,Conventional,Loan originated,717061
2007,CA,Refinancing,Conventional,Application denied by financial institution,529027
2007,CA,Refinancing,Conventional,Application approved but not accepted,190007
2007,CA,Home purchase,VA-guaranteed,Loan originated,1819
2007,CA,Home purchase,VA-guaranteed,Application denied by financial institution,307
2007,CA,Home purchase,VA-guaranteed,Application approved but not accepted,157
2007,CA,Home purchase,FSA/RHS-guaranteed,Loan originated,311
2007,CA,Home purchase,FSA/RHS-guaranteed,Application denied by financial institution,72
2007,CA,Home purchase,FSA/RHS-guaranteed,Application approved but not accepted,26
2007,CA,Home purchase,FHA-insured,Loan originated,4756
2007,CA,Home purchase,FHA-insured,Application denied by financial institution,1539
2007,CA,Home purchase,FHA-insured,Application approved but not accepted,449
2007,CA,Home purchase,Conventional,Loan originated,406532
2007,CO,Home purchase,VA-guaranteed,Application approved but not accepted,238
2007,CO,Home purchase,FSA/RHS-guaranteed,Loan originated,102
2007,CO,Home purchase,FSA/RHS-guaranteed,Application denied by financial institution,20
2007,CO,Home purchase,FSA/RHS-guaranteed,Application approved but not accepted,2
2007,CO,Home purchase,FHA-insured,Loan originated,7683
2007,CO,Home purchase,FHA-insured,Application denied by financial institution,1461
2007,CO,Home purchase,FHA-insured,Application approved but not accepted,453
2007,CO,Home purchase,Conventional,Loan originated,101032
2007,CO,Home purchase,Conventional,Application denied by financial institution,21572
2007,CO,Home purchase,Conventional,Application approved but not accepted,13677
2007,CA,Refinancing,VA-guaranteed,Loan originated,281
2007,CA,Refinancing,VA-guaranteed,Application denied by financial institution,256
2007,CA,Refinancing,VA-guaranteed,Application approved but not accepted,62
2007,CA,Refinancing,FSA/RHS-guaranteed,Loan originated,50
2007,CA,Refinancing,FSA/RHS-guaranteed,Application denied by financial institution,81
2007,CA,Refinancing,FSA/RHS-guaranteed,Application approved but not accepted,31
2007,CT,Home purchase,Conventional,Application denied by financial institution,11158
2007,CT,Home purchase,Conventional,Application approved but not accepted,7521
2007,CO,Refinancing,VA-guaranteed,Loan originated,744
2007,CO,Refinancing,VA-guaranteed,Application denied by financial institution,199
2007,CO,Refinancing,VA-guaranteed,Application approved but not accepted,79
2007,CO,Refinancing,FSA/RHS-guaranteed,Loan originated,7
2007,CO,Refinancing,FSA/RHS-guaranteed,Application denied by financial institution,1
2007,CO,Refinancing,FSA/RHS-guaranteed,Application approved but not accepted,2
2007,CO,Refinancing,FHA-insured,Loan originated,6378
2007,CO,Refinancing,FHA-insured,Application denied by financial institution,2326
2007,CO,Refinancing,FHA-insured,Application approved but not accepted,724
2007,CO,Refinancing,Conventional,Loan originated,86367
2007,CO,Refinancing,Conventional,Application denied by financial institution,65314
2007,CO,Refinancing,Conventional,Application approved but not accepted,17944
2007,CO,Home purchase,VA-guaranteed,Loan originated,3816
2007,CO,Home purchase,VA-guaranteed,Application denied by financial institution,472
2007,CT,Refinancing,FHA-insured,Loan originated,1971
2007,CT,Refinancing,FHA-insured,Application denied by financial institution,1039
2007,CT,Refinancing,FHA-insured,Application approved but not accepted,228
2007,CT,Refinancing,Conventional,Loan originated,56687
2007,CT,Refinancing,Conventional,Application denied by financial institution,40882
2007,CT,Refinancing,Conventional,Application approved but not accepted,12967
2007,CT,Home purchase,VA-guaranteed,Loan originated,396
2007,CT,Home purchase,VA-guaranteed,Application denied by financial institution,39
2007,CT,Home purchase,VA-guaranteed,Application approved but not accepted,27
2007,CT,Home purchase,FSA/RHS-guaranteed,Loan originated,47
2007,CT,Home purchase,FSA/RHS-guaranteed,Application denied by financial institution,5
2007,CT,Home purchase,FSA/RHS-guaranteed,Application approved but not accepted,1
2007,CT,Home purchase,FHA-insured,Loan originated,4214
2007,CT,Home purchase,FHA-insured,Application denied by financial institution,659
2007,CT,Home purchase,FHA-insured,Application approved but not accepted,213
2007,CT,Home purchase,Conventional,Loan originated,47002
2007,DC,Refinancing,Conventional,Loan originated,10682
2007,DC,Refinancing,Conventional,Application denied by financial institution,5770
2007,DC,Refinancing,Conventional,Application approved but not accepted,2022
2007,DC,Home purchase,VA-guaranteed,Loan originated,7
2007,DC,Home purchase,VA-guaranteed,Application denied by financial institution,7
2007,DC,Home purchase,VA-guaranteed,Application approved but not accepted,4
2007,DC,Home purchase,FHA-insured,Loan originated,77
2007,DC,Home purchase,FHA-insured,Application denied by financial institution,34
2007,DC,Home purchase,FHA-insured,Application approved but not accepted,12
2007,DC,Home purchase,Conventional,Loan originated,11457
